title,source,search_query
Assumption-free fidelity bounds for hardware noise characterization,Scholar,QEM + ML
Enhanced electrochemical biosensing on gold electrodes with a ferri/ferrocyanide redox couple,Scholar,QEM + ML
Quantum electromagnetic finite-difference time-domain solver,Scholar,QEM + ML
Q-Cluster: Quantum Error Mitigation Through Noise-Aware Unsupervised Learning,Scholar,QEM + ML
A hybrid system for learning classical data in quantum states,Scholar,QEM + ML
Machine Learning to Simulate Quantum Computing System Errors from Physical Observations,Scholar,QEM + ML
Bhikharini,Scholar,QEM + ML
"A survey on quantum machine learning: Current trends, challenges, opportunities, and the road ahead",Scholar,QEM + ML
A multiweight mesh simplification algorithm for feature preservation in digital twin models,Scholar,QEM + ML
Simulating lattice gauge theory on a quantum computer,Scholar,QEM + ML
Discovery of penicillic acid as a chemical probe against tau aggregation in Alzheimer's disease,Scholar,QEM + ML
Quantum-centric Supercomputing for Physics Research,Scholar,QEM + ML
A process mineralogy approach to the flotation of complex lead–zinc ores from Görgü (Malatya) Region,Scholar,QEM + ML
Artificial intelligence for representing and characterizing quantum systems,Scholar,QEM + ML
Towards n-version quantum software systems for reliable classical-quantum computing,Scholar,QEM + ML
Data-Driven Multi-Objective Optimization of Large-Diameter Si Floating-Zone Crystal Growth,Scholar,QEM + ML
[인용] Quantum Electromagnetic Finite-Difference Time-Domain Solver,Scholar,QEM + ML
Inter-frame coding for dynamic meshes via coarse-to-fine anchor mesh generation,Scholar,QEM + ML
Polymyositis in Kooiker dogs is associated with a 39 kb deletion upstream of the canine IL21/IL2 locus,Scholar,QEM + ML
Massively Parallel Expectation Maximization For Approximate Posteriors,Scholar,QEM + ML
A review on machine learning models in forecasting of virtual power plant uncertainties,Scholar,QEM + ML
Quantum Time Dynamics Mediated by the Yang–Baxter Equation and Artificial Neural Networks,Scholar,QEM + ML
Toward a UV model of kinetic mixing and portal matter. II. Exploring unification in an group,Scholar,QEM + ML
Pacosyt: A passive component synthesis tool based on machine learning and tailored modeling strategies towards optimal rf and mm-wave circuit designs,Scholar,QEM + ML
A randomised placebo-controlled study of purified anthocyanins on cognition in individuals at increased risk for dementia,Scholar,QEM + ML
Qiboml: towards the orchestration of quantum-classical machine learning,Scholar,QEM + ML
Motiontrack: End-to-end transformer-based multi-object tracking with lidar-camera fusion,Scholar,QEM + ML
i-QER: An Intelligent Approach Towards Quantum Error Reduction,Scholar,QEM + ML
Transport of ionic species affected by interactions with a pH-sensitive monolayer of microgel particles attached to electrode surface,Scholar,QEM + ML
Quantum RAM for existing Quantum Machine Learning methods,Scholar,QEM + ML
FragQC: An efficient quantum error reduction technique using quantum circuit fragmentation,Scholar,QEM + ML
Fluoride removal from aqueous solution by montmorillonite clay: Kinetics and equilibrium modeling using new generalized fractal equation,Scholar,QEM + ML
Use of hybrid quantum-classical algorithms for enhancing biomarker classification,Scholar,QEM + ML
Parameter Estimation of Birnbaum-Saunders Distribution under Competing Risks Using the Quantile Variant of the Expectation-Maximization Algorithm,Scholar,QEM + ML
Quantum error mitigation in quantum annealing,Scholar,QEM + ML
Global incidence of necrotizing enterocolitis: a systematic review and meta-analysis,Scholar,QEM + ML
Computational quantum electromagnetics: Basic concepts and emerging trends,Scholar,QEM + ML
[PS] VLI NIE NAIBOL^ XIH SOBSTVENNYH ZNAQENI NA QISLENNU SHODIMOST^ METODA SOPR ENNYH GRADIENTOV 1. Postanovka zadaqi,Scholar,QEM + ML
Monolayer of microgel particles based on poly (acrylic acid) modified with dopamine for electrochemical pH sensing,Scholar,QEM + ML
Outpainting by queries,Scholar,QEM + ML
A New LaSQEM and LaWQEM approaches for stability and free vibration Analysis of a Strain Gradient elastic Euler-Bernoulli nanobeam,Scholar,QEM + ML
Optimization of a Stationary Tomographic MBI System Including Non-Local Means Filtering,Scholar,QEM + ML
Presenting the project SekQuaSens3: combining a networked sensor concept with model-based decisions for optimized energy flow in a district,Scholar,QEM + ML
Optimizing Interface Permeability and Structural Stability through a Fine Inorganic-Grain-Network for Long-Term Lithium-Mediated Ammonia Synthesis,Scholar,QEM + ML
Quantum error mitigations for quantum approximate optimization algorithms on IBM quantum processors,Scholar,QEM + ML
Enhancing quantum utility: simulating large-scale quantum spin chains on superconducting quantum computers,Scholar,QEM + ML
Electrochemically induced release of a model dye from a pH-sensitive and electroactive microgel monolayer attached to an electrode surface,Scholar,QEM + ML
Mechanism and modeling of fatigue crack initiation and propagation in the directionally solidified CM186 LC blade of a gas turbine engine,Scholar,QEM + ML
Drift-resilient mid-circuit measurement error mitigation for dynamic circuits,Scholar,QEM + ML
Towards Collaborative Analysis of Computational Fluid Dynamics using Mixed Reality.,Scholar,QEM + ML
Fast and robust parallel simplification algorithm for triangular mesh,Scholar,QEM + ML
Chemically Triggered Dopant Release from Surface-Modified Polypyrrole Films,Scholar,QEM + ML
"[PS] O QETYREHUGOL^ NIKAH, VPISANNYH V ZAMKNUTU KRIVU, I EE VERXINAH",Scholar,QEM + ML
RAD52 and RPA act in a concert promoting inverse RNA strand exchange,Scholar,QEM + ML
Interpretable modelling and visualization of biomedical data,Scholar,QEM + ML
Equilibrium and Adsorption Kinetic Study of Metal Ni (II) using Persimmon Tannin Gel,Scholar,QEM + ML
Optimization of 3D immunofluorescence analysis and visualization using IMARIS and MeshLab,Scholar,QEM + ML
Loop-ultrasound-assisted extraction: An efficient approach for the recovery of bioactive compounds from oak bark,Scholar,QEM + ML
Essays on microeconometric and machine learning models,Scholar,QEM + ML
Electrostimulated reversible swelling/shrinking behavior of electroactive p (AA-BAC)/Cu (II) microgel monolayer on Au electrode surface,Scholar,QEM + ML
Temperature and ionic strength modulated responses of modified with viologen derivative electrosensitive microgel,Scholar,QEM + ML
Harnessing inherent noises for privacy preservation in quantum machine learning,Scholar,QEM + ML
Biofouling-Resistant Electroactive Polymer Composites for Protein-Triggered Counterion Delivery,Scholar,QEM + ML
Exploring the Effect of Tetraphenyl Porphyrin Chemical Structure on the Performance of Polymer-Based Pressure-Sensitive Paints,Scholar,QEM + ML
[책] Interplay Between Quantum Computation and Machine Learning,Scholar,QEM + ML
Stochastic Quantum Spiking Neural Networks with Quantum Memory and Local Learning,Scholar,QEM + ML
"[인용] Fibrinogen, Collagen and Transferrin Adsorption to PEDOT-XRU glycan composite Conducting Polymer Biomaterials for Wound Healing Applications",Scholar,QEM + ML
Systematic Topology-Optimized Zero-Noise Extrapolation Achieves 7.8× Performance Gains and Reveals Unexpected Sweet Spots on IBM's 133-Qubit Processor,Scholar,QEM + ML
From Ideal to Noisy: Adapting Property-Based Testing for Real-World Noisy Quantum Computers,Scholar,QEM + ML
Real-world large-scale terrain model reconstruction and real-time rendering,Scholar,QEM + ML
On Deep Reinforcement Learning for Traffic Steering Intelligent ORAN,Scholar,QEM + ML
Structure-based discovery of small molecules that disaggregate Alzheimer's disease tissue derived tau fibrils in vitro,Scholar,QEM + ML
"Synthesis, characterization, and application of pristine and clay-templated carbon xerogel microspheres for removing diclofenac and heavy metals from water solution",Scholar,QEM + ML
Tanq-sim: Tensorcore accelerated noisy quantum system simulation via qir on perlmutter hpc,Scholar,QEM + ML
"Fibrinogen, collagen, and transferrin adsorption to poly (3, 4-ethylenedioxythiophene)-xylorhamno-uronic glycan composite conducting polymer biomaterials …",Scholar,QEM + ML
Hybrid Quantum Neural Networks for Efficient Protein-Ligand Binding Affinity Prediction,Scholar,QEM + ML
Quantum Resilience: Canadian Innovations in Quantum Error Correction and Quantum Error Mitigation,Scholar,QEM + ML
Electroresponsive microgel able to form a monolayer on gold through self-assembly,Scholar,QEM + ML
Electrified interactions of polyzwitterions with charged surfaces: Role of dipole orientation and surface potentials,Scholar,QEM + ML
Toward UV models of kinetic mixing and portal matter. V. Indirect probes of the new physics scale,Scholar,QEM + ML
Preparation and Evaluation of Enoxaparin-Imprinted Polymer Via Precipitation Polymerization Using Microwave Irradiation and Conventional Stirring Methods,Scholar,QEM + ML
"Effects of Water Immersion and Acidification on Nano-Pores in Tight Sandstones—A Case Study of the Gaotaizi Reservoir, Songliao Basin",Scholar,QEM + ML
A supervised machine learning procedure for EPMA classification and plotting of mineral groups,Scholar,QEM + ML
SHAP-based Intrusion Detection in IoT Networks Using Quantum Neural Networks on IonQ Hardware,Scholar,QEM + ML
Intelligent User Association and Resource Scheduling in Open RAN with 7.2 x Functional Split,Scholar,QEM + ML
Fast minimization of expected logarithmic loss via stochastic dual averaging,Scholar,QEM + ML
Efficient Hamiltonian Simulation: A Utility Scale Perspective for Covalent Inhibitor Reactivity Prediction,Scholar,QEM + ML
High-and Low-Frequency TENS with Paravertebral Ozone Therapy for Chronic Low Back Pain and Radiculopathy: A Pilot Study,Scholar,QEM + ML
Lie-algebraic classical simulations for variational quantum computing,Scholar,QEM + ML
Rootstock and training effects on growth and fruit quality of young '0900 Ziraat'sweet cherry trees,Scholar,QEM + ML
Intelligent User Association and Scheduling in Open RAN: A Hierarchical Optimization Framework,Scholar,QEM + ML
[인용] 保持细节特征的输电铁塔三维网格模型轻量化算法,Scholar,QEM + ML
Portal matter and dark sector phenomenology at colliders,Scholar,QEM + ML
Improved Pattern Recognition—Quantum Machine Learning,Scholar,QEM + ML
Lie-algebraic classical simulations for quantum computing,Scholar,QEM + ML
Temperature and concentration dependence of the electrochemical PtHg4 alloy formation for mercury decontamination,Scholar,QEM + ML
Dispersing and retarding properties of water-soluble tetrasulfonate resorcin [4] arene and pyrogallol [4] arene macrocycles in cement-based mortar,Scholar,QEM + ML
Applications of quantum circuit learning model using particle-number-conserving state on quantum chemical calculations,Scholar,QEM + ML
SieveNet: selecting point-based features for mesh networks,Scholar,QEM + ML
Watermarking for neural radiation fields by invertible neural network,Scholar,QEM + ML
In vitro probiotic evaluation of yeasts from coconut and raffia juices.,Scholar,QEM + ML
"Towards quantum-native communication systems: New developments, trends, and challenges",Scholar,QEM + ML
Tri-modal motion retrieval by learning a joint embedding space,Scholar,QEM + ML
Quantum machine learning for multiclass classification beyond kernel methods,Scholar,QEM + ML
Effective field theory of chirally enhanced muon mass and dipole operators,Scholar,QEM + ML
Folding-free zne: A comprehensive quantum zero-noise extrapolation approach for mitigating depolarizing and decoherence noise,Scholar,QEM + ML
Quantum Utility-Scale Error Mitigation for Quantum Quench Dynamics in Heisenberg Spin Chains,Scholar,QEM + ML
Toward UV model of kinetic mixing and portal matter. IV. Quartification,Scholar,QEM + ML
Improving the solubility of pseudo-hydrophobic Alzheimer's Disease medicinal chemicals through co-crystal formulation,Scholar,QEM + ML
Unfair Advertising of Medicines as a Biosafety Threat,Scholar,QEM + ML
The Newman-Penrose map and the classical double copy,Scholar,QEM + ML
[인용] Electrochemical-QCMD Control over S-Layer (SbpA) Recrystallization with Fe 2 as Specific Ion for Self-Assembly Induction,Scholar,QEM + ML
Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,Scholar,QEM + ML
Phenomenological motivation for gravitational positivity bounds: A case study of dark sector physics,Scholar,QEM + ML
[PS] x0. Vvedenie,Scholar,QEM + ML
Building intelligent moving average-based stock trading system using metaheuristic algorithms,Scholar,QEM + ML
Sample efficient reinforcement learning method via high efficient episodic memory,Scholar,QEM + ML
"Best Practices in Structural Equation Modeling with Cross-Sectional, Emerging Adult Data",Scholar,QEM + ML
Stability analysis of composite shafts considering internal damping and coupling effect,Scholar,QEM + ML
snpu: Trusted execution environments on integrated npus,Scholar,QEM + ML
"Mineral characterization using scanning electron microscopy (SEM): a review of the fundamentals, advancements, and research directions",Scholar,QEM + ML
ON THE QUESTION OF WAVE MATTER DUALITY,Scholar,QEM + ML
Precision-Controlled Microwave Hyperthermia Preclinical System for Small Animal Studies,Scholar,QEM + ML
A Software-Based Framework for Dynamic Noise Mitigation in Quantum Circuits,Scholar,QEM + ML
Strange and charm quark contributions to the muon anomalous magnetic moment in lattice QCD with twisted-mass fermions,Scholar,QEM + ML
Superparamagnetic Micelles for the Magnetic Hyperthermia against Glioblastoma: A Multiphysics Approach for Personalized Treatment Planning,Scholar,QEM + ML
Quantum Computing Technology Roadmaps and Capability Assessment for Scientific Computing--An analysis of use cases from the NERSC workload,Scholar,QEM + ML
Knowledge graphs querying,Scholar,QEM + ML
New method for calculating electromagnetic effects in semileptonic beta-decays of mesons,Scholar,QEM + ML
Sequestration of crystal violet from aqueous solution using ash of black turmeric rhizome,Scholar,QEM + ML
Adsorption of remove methyl green dye from wastewater by using fava bean peel waste: Kinetic and thermodynamic studies,Scholar,QEM + ML
Divisible linear rank metric codes,Scholar,QEM + ML
Spot the Spy: Exploring Natural Question-Asking in Gaming Environments,Scholar,QEM + ML
Morphology control of perovskite film for efficient CsPbIBr2 based inorganic perovskite solar cells,Scholar,QEM + ML
Locally optimum watermark decoder based on fast quaternion generic polar complex exponential transform,Scholar,QEM + ML
Quantum Algorithms for the Physical Layer: Potential Applications to Physical Layer Security,Scholar,QEM + ML
Toward consistent high-fidelity quantum learning on unstable devices via efficient in-situ calibration,Scholar,QEM + ML
[Retracted] Gauging the Impact of Artificial Intelligence and Mathematical Modeling in Response to the COVID‐19 Pandemic: A Systematic Review,Scholar,QEM + ML
Exploring Fermionic Dark Matter in the Presence of Scalar Leptoquarks,Scholar,QEM + ML
Reutilization of pyrite-rich alkaline leaching tailings as sorbent must consider the interplay of sorption and desorption,Scholar,QEM + ML
Oolonghomobisflavans from Camellia sinensis disaggregate tau fibrils across Alzheimer's disease models,Scholar,QEM + ML
Manganese oxide nanoparticles: the influence of manganese oxidation state on selective lysis of tumor cells,Scholar,QEM + ML
Adapting Without Replacing: Integrating Mobile Network Data into an Activity-Based Dynamic Discrete Choice Model,Scholar,QEM + ML
Combination of AFM and electrochemical QCM-D for probing Zwitterionic polymer brushes in water: Visualization of ionic strength and surface potential effects,Scholar,QEM + ML
热改性粉煤灰对水中铜的动态吸附研究,Scholar,QEM + ML
Enhancing Quantification and Classification for Multi-Class Learning Under Label Shift,Scholar,QEM + ML
Enhanced interfacial affinity of the supercapacitor electrode with a hydrogel electrolyte by a preadsorbed polyzwitterion layer,Scholar,QEM + ML
Quantum Entropy & Probabilistic Clustering for Uncertainty-Aware Groundwater Quality Assessment in Geochemically Complex Terrains of Eastern India,Scholar,QEM + ML
Transient Power Control to Maximize Current Injection Capability for Single-Loop Grid-Forming Converters,Scholar,QEM + ML
Myths around quantum computation before full fault tolerance: What no-go theorems rule out and what they don't,Scholar,QEM + ML
Impact of a local -odd domain in hot QCD on the axionic domain-wall interpretation of NANOGrav 15-year data,Scholar,QEM + ML
"The frequency dependent of main electrical parameters, conductivity and surface states in the Al/(% 0.5 Bi: ZnO)/p-Si/Au (MIS) structures",Scholar,QEM + ML
Improvement of 3D graphics image optimization technology,Scholar,QEM + ML
A new theory framework for the electroweak radiative corrections in Kl3 decays,Scholar,QEM + ML
Monoaminergic neurotransmitters are bimodal effectors of tau aggregation,Scholar,QEM + ML
DNA-Tethered Lipid Membrane Formation via Solvent-Assisted Self-Assembly,Scholar,QEM + ML
ypztsp {q|}} z~ zs znrq np qz {q nor p {qv,Scholar,QEM + ML
Hybrid quantum-classical algorithms and quantum error mitigation,Scholar,QEM + ML
"Towards Quantum-Native Communication Systems: State-of-the-Art, Trends, and Challenges",Scholar,QEM + ML
Integrating quantum algorithms into drone navigational modules,Scholar,QEM + ML
Quantum machine learning for digital health? a systematic review,Scholar,QEM + ML
Optimal energy management and emissions reduction for hybrid marine propulsion plant using reinforcement learning,Scholar,QEM + ML
Quantum computing and artificial intelligence: status and perspectives,Scholar,QEM + ML
Electrochemical Controlling of Double Microgel Layer Formation on an Electrode Surface via an Electrosensitive Inclusion Complex,Scholar,QEM + ML
Supplementary Material for VMNet: Voxel-Mesh Network for Geodesic-Aware 3D Semantic Segmentation,Scholar,QEM + ML
"Improving the capacitance of hydrogel-based supercapacitors by pre-depositing a zwitterionic 3, 4-ethylenedioxythiophene",Scholar,QEM + ML
Variational Bayesian estimation of statistical properties of composite gamma log-normal distribution,Scholar,QEM + ML
Causal AI Modelling of Chemical Manufacturing Plants,Scholar,QEM + ML
GALIC: hybrid multi-qubitwise pauli grouping for quantum computing measurement,Scholar,QEM + ML
Vietnamese Document Classification Using Graph Convolutional Network,Scholar,QEM + ML
Poly (ethylene glycol)/β-cyclodextrin pseudorotaxane complexes as sustainable dispersing and retarding materials in a cement-based mortar,Scholar,QEM + ML
Self interacting Sterile Neutrino Dark Matter,Scholar,QEM + ML
A Vision for Coupling Operation of US Fusion Facilities with HPC Systems and the Implications for Workflows and Data Management,Scholar,QEM + ML
and Controlled pH Conditions by Granular Activated Alumina,Scholar,QEM + ML
Modulating Surface Cation Concentration via Tuning the Molecular Structures of Ethylene Glycol-Functionalized PEDOT for Improved Alkaline Hydrogen Evolution …,Scholar,QEM + ML
Adsorption of Bovine Serum Albumin on Silver Nanoparticle Layer Deposited on Mercaptohexylpyridinium‐Coated Quartz Crystal Microbalance with Dissipation Gold …,Scholar,QEM + ML
Sustainable recovery of metallic Fe and oxides from bauxite residue via H2 reduction: Enhancing purity and recovery rates,Scholar,QEM + ML
Confined Seepage underneath Hydraulic Structures Using Strong form Differential Quadrature Element Method.,Scholar,QEM + ML
Quantum error mitigation for rotation-symmetric bosonic codes with symmetry expansion,Scholar,QEM + ML
Kinetic and equilibrium studies of adsorptive removal of sodium-ion onto wheat straw and rice husk wastes,Scholar,QEM + ML
Fast inter-frame coding for dynamic meshes via supervoxel-based shape matching,Scholar,QEM + ML
Quantum error thresholds for gauge-redundant digitizations of lattice field theories,Scholar,QEM + ML
Electrochemically Controlled Release from a Thin Hydrogel Layer,Scholar,QEM + ML
Temperature and Concentration Dependence of the Electrochemical Pthg4 Alloy Formation for Mercury Decontamination,Scholar,QEM + ML
"Advanced 1D Metal–Organic Coordination Polymer for Lithium-Ion Batteries: Designing, Synthesis, and Working Mechanism",Scholar,QEM + ML
Error-mitigated inference of quantum network topology,Scholar,QEM + ML
Treatment of Spontaneous Tumors With Algorithmically Controlled Electroporation,Scholar,QEM + ML
METHODS FOR IMPROVING THE EFFICIENCY OF IMAGE OPTIMIZATION IN 3D GRAPHICS,Scholar,QEM + ML
Coupled sterol synthesis and transport machineries at ER–endocytic contact sites,Scholar,QEM + ML
Double copy of the multipole expansion,Scholar,QEM + ML
Evaluation of coefficients of mode III crack-tip asymptotic fields using weak form quadrature elements,Scholar,QEM + ML
Feasibility studies on the production of new particles with preferential couplings to third generation fermions at the LHC,Scholar,QEM + ML
ONEBench to test them all: Sample-level benchmarking over open-ended capabilities,Scholar,QEM + ML
Pre-treatment mapping strategies to enhance real-time temperature reconstruction in microwave cancer hyperthermia,Scholar,QEM + ML
Vacuum-enhanced charging of a quantum battery,Scholar,QEM + ML
A decisão natural no,Scholar,QEM + ML
Modified carboxymethylcellulose-based scaffolds as new potential ecofriendly superplasticizers with a retardant effect for mortar: From the synthesis to the …,Scholar,QEM + ML
On the impact of black-box deployment strategies for edge ai on latency and model performance,Scholar,QEM + ML
"Hot Spring Geochemistry in the Central Tianshan Mountains: Unveiling Fault Activity, Fluid Circulation, and Seismic Precursors",Scholar,QEM + ML
Sensitive photodetection below silicon bandgap using quinoid-capped organic semiconductors,Scholar,QEM + ML
Aqueous asymmetric pseudocapacitor featuring high areal energy and power using conjugated polyelectrolytes and Ti3C2Tx MXene,Scholar,QEM + ML
"Enhancement of the adsorption properties of two natural bentonites by ion exchange: equilibrium, kinetics and thermodynamic study",Scholar,QEM + ML
Physics of the Dark Universe,Scholar,QEM + ML
The adoption of the braided river model toward an inclusive STEM workforce for all,Scholar,QEM + ML
Studies on Thiol Etching of Gold by Using QCM‐D Sensor as the Sacrificial Probe,Scholar,QEM + ML
Formação de professores e demandas sociais atuais: currículo em foco,Scholar,QEM + ML
A comprehensive survey of electric vehicle charging demand forecasting techniques,Scholar,QEM + ML
Design and testing of a gated electron mirror,Scholar,QEM + ML
In situ probing unusual protein adsorption behavior on electrified zwitterionic conducting polymers,Scholar,QEM + ML
Mixed conduction in an n‐type organic semiconductor in the absence of hydrophilic side‐chains,Scholar,QEM + ML
Synthesis and characterization of copolymer adsorbent for crystal violet dye removal from water,Scholar,QEM + ML
Kaolinite surface charges developed in cyclohexane suspension with dissolved Span 80 or bitumen: Electrodeposition and adsorption/desorption studies,Scholar,QEM + ML
Simulating noisy quantum channels via quantum state preparation algorithms,Scholar,QEM + ML
RWNeRF: Robust Watermarking Scheme for Neural Radiance Fields Based on Invertible Neural Networks.,Scholar,QEM + ML
Possible Forms of Deritualization of Court Sessions in Arbitration Procedure,Scholar,QEM + ML
Sorption of Eosine Y dye onto pre-treated hen feathers in aqueous solution,Scholar,QEM + ML
pH-responsive drug delivery nanoplatforms as smart carriers of unsymmetrical bisacridines for targeted cancer therapy. Pharmaceutics. 2023; 15: 201,Scholar,QEM + ML
Applications of Deep Convolutional Neural Networks for Energy-Based Materials Characterization on Digital Images,Scholar,QEM + ML
[책] Studies of Background Reduction via angular-selective Electron Detection in the KATRIN Experiment,Scholar,QEM + ML
Highly sensitive water pollution monitoring using colloid-processed organic photodetectors,Scholar,QEM + ML
"Synthesis and characterization of maleimide functionalized poly (3, 4-ethylenedioxythiophene)(PEDOT) polymers",Scholar,QEM + ML
4-Methylcytosine DNA modification is critical for global epigenetic regulation and virulence in the human pathogen Leptospira interrogans,Scholar,QEM + ML
New unsymmetrical bisacridine derivatives noncovalently attached to quaternary quantum dots improve cancer therapy by enhancing cytotoxicity toward cancer cells …,Scholar,QEM + ML
Real-Time In Situ Spectroscopic and Electrochemical Analysis of Ion–Water–Polymer Interactions at Functionalized PEDOT Interfaces,Scholar,QEM + ML
Toward practical quantum embedding simulation of realistic chemical systems on near-term quantum computers,Scholar,QEM + ML
Tutorials Program,Scholar,QEM + ML
Search for scalar and vector doubly charged bosons with Run2 data collected by the ATLAS experiment at LHC,Scholar,QEM + ML
Control of Shared Production Buffers: A Reinforcement Learning Approach,Scholar,QEM + ML
GenQu: A Hybrid System for Learning Classical Data in Quantum States,Scholar,QEM + ML
Evaluating the effects of irrigation water quality and compost amendment on soil health and crop productivity,Scholar,QEM + ML
采用机器学习分割算法和扫描电镜分析 页岩微观孔隙结构.,Scholar,QEM + ML
Concentration inequalities for Poisson -statistics,Scholar,QEM + ML
Synthesis and characterization of ZnO/activated carbon khat nanocomposite for removal of methylene blue dye,Scholar,QEM + ML
"[책] Phenotyping with Partially Labeled, Partially Observed Data",Scholar,QEM + ML
Point cloud model simplification method for ring forgings based on single median error metric,Scholar,QEM + ML
Group-theoretic error mitigation enabled by classical shadows and symmetries,Scholar,QEM + ML
A real scene 3D Model-Driven sunlight analysis method for complex building roofs,Scholar,QEM + ML
Extraction of thorium (IV) ions utilizing cinnamon bark via fixed-bed adsorbent,Scholar,QEM + ML
面向小样本关系抽取的自适应胶囊网络.,Scholar,QEM + ML
"A Dollar Today Is Worth More Than a Dollar Tomorrow: HOW ASSUMING DIGITAL MATURITY IS KEY TO QUALITY, COMPETITIVE ADVANTAGE, AND INTELLIGENT …",Scholar,QEM + ML
Neutrino Mass Origin and Flavored-QCD axion in an Extra-Dimension,Scholar,QEM + ML
Legal Content of Fraud in the Field of Consumer Lending. Part One,Scholar,QEM + ML
Quantum Utility in Simulating the Real-time Dynamics of the Fermi-Hubbard Model using Superconducting Quantum Computers,Scholar,QEM + ML
Excited Dyonic States of Monopoles and Astronomical Bounds on an Axion-Photon-Dark Photon Interaction,Scholar,QEM + ML
Studies in quantitative environmental modelling of agricultural land use systems,Scholar,QEM + ML
Electroactive and Thermoresponsive Hybrid Microgel on a Gold Surface for Electrochemically Controlled Release of Active Substance,Scholar,QEM + ML
Kanser Tedavisinde Mikrodalga Ablasyon İçin Optimum Parametrelerin Belirlenmesi,Scholar,QEM + ML
Developing techniques for Simulation of SU (3) Quantum Field Theories on State-of-the-Art Quantum Devices,Scholar,QEM + ML
Exploring the Neutrino Sector of the Minimal Left-Right Symmetric Model,Scholar,QEM + ML
brn r CRR 5 4 ت 1 1 FEN E,Scholar,QEM + ML
Moringa stenopetala Seed Cake Powder as Biosorbent for Wastewater Treatment and Its Adsorption Isotherm and Thermodynamic Study,Scholar,QEM + ML
Testing Lorentz-symmetry violation via electroweak decays,Scholar,QEM + ML
Lightweight and Privacy-Preserving Reconfigurable Authentication Scheme for IoT Devices,Scholar,QEM + ML
Klebsiella pneumoniae carbapenemase variants resistant to ceftazidime-avibactam: an evolutionary overview,Scholar,QEM + ML
A GFET nitrile sensor using a graphene‐binding fusion protein,Scholar,QEM + ML
Phenomenology of new physics in the neutrino sector,Scholar,QEM + ML
The QOM Toolbox: An Object-Oriented Python Framework for Cavity Optomechanical Systems,Scholar,QEM + ML
Determination of Fe3O4 Content and Total Nonhydraulic Minerals in Steel Slag,Scholar,QEM + ML
pHEMA 基分子印迹隐形眼镜的制备及其对茶多酚的负载.,Scholar,QEM + ML
Covid-19 diagnosis using privacy-preserving data monitoring: an explainable AI deep learning model with blockchain security,Scholar,QEM + ML
Organic Electrochemical Transistor Channel Materials: Copolymerization Versus Physical Mixing of Glycolated and Alkoxylated Polymers,Scholar,QEM + ML
基于可逆神经网络的神经辐射场水印.,Scholar,QEM + ML
Interpretable models capable of handling systematic missingness in imbalanced classes and heterogeneous datasets,Scholar,QEM + ML
