merged_from,source_file,authors,year,title,venue,doi,publisher
google_title.csv,1.csv,"W Aguilar-Calvo, S Núñez-Corrales",2025,Adaptive genetic algorithms for pulse-level quantum error mitigation,arXiv preprint arXiv:2501.14007,,arxiv.org
google_title.csv,1.csv,"S Rao, IR Indu",2026,Adaptive Hardware-Aware Quantum Error Mitigation Policy Selection Framework on Edge Devices,2026 IEEE International Conference for …,,ieeexplore.ieee.org
google_title.csv,1.csv,"TB Adeniyi, SAP Kumar",2025,Adaptive neural network for quantum error mitigation,Quantum Machine Intelligence,10.1007/s42484-024-00234-4,Springer
google_title.csv,1.csv,"A Glos, A Nykänen, EM Borrelli, S Maniscalco, ...",2022,Adaptive POVM implementations and measurement error mitigation strategies for near-term quantum devices,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"R Haribaskar, N Jayakumar, ...",2026,Adaptive Quantum Error Mitigation Using Machine Learning in Noisy Intermediate-Scale Quantum Systems,2026 9th International …,,ieeexplore.ieee.org
google_title.csv,1.csv,"I Henao, JP Santos, R Uzdin",2023,Adaptive quantum error mitigation using pulse-based inverse evolutions,npj Quantum Information,,nature.com
google_title.csv,1.csv,"SMYI Tomal, A Al Shafin",,Adaptive Quantum Error Mitigation with Reinforcement Learning for NISQ,,,
google_title.csv,1.csv,"UI Paracha, SMA Rizvi, MMU Gondel, ...",2024,Adaptive Quantum Readout Error Mitigation with Transfer Learning,… on Information and …,,ieeexplore.ieee.org
google_title.csv,1.csv,"LS Beevi, PMJ Prathap, S Reddy, ...",2024,Advancements in quantum error mitigation strategies for reliable quantum computing on IBM simulators,… on Emerging Smart …,,ieeexplore.ieee.org
google_title.csv,1.csv,H Zou,2024,Advancing Near-Term Quantum Computing for Chemistry: Multireference-State Error Mitigation,,,odr.chalmers.se
google_title.csv,12.csv,F Shita,,AI-Enhanced Zero Noise Extrapolation using Residual Neural Networks for Quantum Error Mitigation,AI4X {\textendash} Accelerate Conference 2026,,researchgate.net
google_title.csv,11.csv,I Rajendiran,2025,AI-Powered Health Insurance Fraud Detection using QEM-FusionNet based SmartGridRand,… International Conference on Artificial Intelligence …,,ieeexplore.ieee.org
google_title.csv,7.csv,"A Siegel, K Mitarai, K Fujii",2023,Algorithmic error mitigation for quantum eigenvalues estimation,arXiv preprint arXiv:2308.03879,,arxiv.org
google_title.csv,1.csv,"P Suchsland, F Tacchino, MH Fischer, T Neupert, ...",2021,Algorithmic error mitigation scheme for current quantum processors,Quantum,,quantum-journal.org
google_title.csv,1.csv,"D Qin, X Xu, Y Li",2022,An overview of quantum error mitigation formulas,Chinese Physics B,10.1088/1674-1056/ac7b1e,iopscience.iop.org
google_title.csv,3.csv,"TR Jin, YH Shi, ZA Wang, TM Li, K Xu, ...",2024,Back Cover: Purity‐Assisted Zero‐Noise Extrapolation for Quantum Error Mitigation (Adv. Quantum Technol. 12/2024),Advanced Quantum …,10.1002/qute.202470037,Wiley Online Library
google_title.csv,15.csv,"T Weaving, A Ralli, WM Kirby, PJ Love, S Succi…",2023,Benchmarking noisy intermediate scale quantum error mitigation strategies for ground state preparation of the HCl molecule,Physical Review …,10.1103/PhysRevResearch.5.043054,APS
google_title.csv,1.csv,"R Majumdar, P Rivero, F Metz, ...",2023,Best practices for quantum error mitigation with digital zero-noise extrapolation,2023 IEEE …,,ieeexplore.ieee.org
google_title.csv,1.csv,"T Bao, X Ye, H Ruan, C Liu, W Wu, ...",2025,Beyond circuit connections: A non-message passing graph transformer approach for quantum error mitigation,… Conference on Learning …,,openreview.net
google_title.csv,11.csv,"Z Zhan, Z Tang, L He, J Ding",2025,BIM Lightweight Technology in Water Conservancy Engineering Operation and Maintenance: Improvement of the QEM Algorithm and Construction of the …,Water,,mdpi.com
google_title.csv,12.csv,"T Saporiti, O Kaikov, V Sazonov, M Tamaazousti",2025,Bogoliubov-Born-Green-Kirkwood-Yvon hierarchy for quantum error mitigation,Physical Review A,10.1103/slbz-3r4b,APS
google_title.csv,7.csv,"LCG Govia, S Majumder, SV Barron, B Mitchell, A Seif, ...",2025,Bounding the systematic error in quantum error mitigation due to model violation,PRX Quantum,10.1103/PRXQuantum.6.010354,APS
google_title.csv,3.csv,"GD Agreda, CAD Paredes, MB Samboni, ...",2025,Bridging Theory and Practice in Quantum Game Theory: Optimized Implementation of the Battle of the Sexes with Error Mitigation on NISQ Hardware,2025 IEEE CHILEAN …,,ieeexplore.ieee.org
google_title.csv,13.csv,"K O'Gorman, F Brink, D Tanner, B Li, Z Jacobs",2021,Calibration of a QEM-EDS system for rapid determination of potassium concentrations of feldspar grains used in optical dating,Quaternary Geochronology,,Elsevier
google_title.csv,1.csv,S Zhihao,2025,Calibration-Aware Graph Neural Networks for Robust and Scalable Quantum Error Mitigation,,,researchsquare.com
google_title.csv,1.csv,"S Wang, P Czarnik, A Arrasmith, M Cerezo, ...",2024,Can error mitigation improve trainability of noisy variational quantum algorithms?,Quantum,,quantum-journal.org
google_title.csv,7.csv,"Z Blunden-Codd, M Tamaazousti",2025,Certification and Classification of Linear Quantum Error Mitigation Methods,arXiv preprint arXiv:2510.26497,,arxiv.org
google_title.csv,1.csv,"RT de Abreu Pinho, MP Quiñones, ...",2026,Circuit Cutting With QEM-On-The-Go,US Patent App. 18 …,,Google Patents
google_title.csv,1.csv,"R Shen, T Chen, CH Lee",2025,Circuit structure-preserving error mitigation for High-Fidelity Quantum Simulations,arXiv preprint arXiv:2505.17187,,arxiv.org
google_title.csv,1.csv,"LM Seifert, S Dangwal, FT Chong, GS Ravi",2024,Clapton: Clifford Assisted Problem Transformation for Error Mitigation in Variational Quantum Algorithms,Proceedings of the 29th …,10.1145/3622781.3674178,dl.acm.org
google_title.csv,18.csv,A Shaw,2021,Classical-quantum noise mitigation for NISQ hardware,arXiv preprint arXiv:2105.08701,,arxiv.org
google_title.csv,1.csv,"R Zhang, Y Shao, F Wei, S Cheng, Z Wei, ...",2024,Clifford perturbation approximation for quantum error mitigation,arXiv preprint arXiv …,,arxiv.org
google_title.csv,14.csv,"D Zhong, W Munizzi, H Chen, WA de Jong",2025,Combining Error Detection and Mitigation: A Hybrid Protocol for Near-Term Quantum Simulation,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"SP Wang, J Mao, E Sakk",2025,"Compilation, Optimization, Error Mitigation, and Machine Learning in Quantum Algorithms",arXiv preprint arXiv:2506.15760,,arxiv.org
google_title.csv,7.csv,"MSJ Tepaske, DJ Luitz",2023,Compressed quantum error mitigation,Physical Review B,10.1103/PhysRevB.107.L201114,APS
google_title.csv,1.csv,"VR Pascuzzi, A He, CW Bauer, WA De Jong, ...",2022,Computationally efficient zero-noise extrapolation for quantum-gate-error mitigation,Physical Review A,10.1103/PhysRevA.105.042406,APS
google_title.csv,1.csv,"M Beisel, J Barzen, F Leymann, F Truger, B Weder, ...",2022,Configurable readout error mitigation in quantum workflows,Electronics,,mdpi.com
google_title.csv,15.csv,"G Bressanini, Y Ma, H Kwon, MS Kim",2026,Continuous-time noise mitigation in analogue quantum simulation,arXiv preprint arXiv:2601.05952,,arxiv.org
google_title.csv,1.csv,"K Ju, H Zhong, X Zhang, X Qin, ...",2024,Controllable Quantum Computing Privacy via Inherent Noises and Quantum Error Mitigation,2024 IEEE 23rd …,,ieeexplore.ieee.org
google_title.csv,1.csv,"OGL Rasmussen, E Kjellgren, P Reinholdt, ...",2025,"Cost-effective scalable quantum error mitigation for tiled Ans\"" atze",arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"L Placidi, I Williams, E Rinaldi, D Mills, ...",2026,Deep Learning Approaches to Quantum Error Mitigation,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"S Cantori, A Mari, D Vitali, S Pilati",2025,Deep-learned error mitigation via partially knitted circuits for the variational quantum eigensolver,arXiv preprint arXiv:2506.04146,,arxiv.org
google_title.csv,7.csv,"A Zhang, H Xie, Y Gao, JN Yang, Z Bao, Z Zhu, ...",2025,Demonstrating quantum error mitigation on logical qubits,Nature …,,nature.com
google_title.csv,7.csv,"Y Hirasaki, S Daimon, T Itoko, N Kanazawa, ...",2023,Detection of temporal fluctuation in superconducting qubits for quantum error mitigation,Applied Physics …,,pubs.aip.org
google_title.csv,1.csv,"JY Shim, J Kim",2024,Diffusion-based quantum error mitigation using stochastic differential equation,2024 IEEE VTS Asia Pacific Wireless …,,ieeexplore.ieee.org
google_title.csv,1.csv,"HQ Nguyen, XB Nguyen, SYC Chen, ...",2025,Diffusion-inspired quantum noise mitigation in parameterized quantum circuits,Quantum Machine …,10.1007/s42484-025-00276-2,Springer
google_title.csv,1.csv,"DDK Wayo, RA Dias, L Goliatt, S Groppe",2025,DifGa: Differentiable Error Mitigation for Multi-Mode Gaussian and Non-Gaussian Noise in Quantum Photonic Circuits,arXiv preprint arXiv:2512.23776,,arxiv.org
google_title.csv,1.csv,MG Garces,2026,Distributed Quantum Error Mitigation: Global and Local ZNE encodings,arXiv preprint arXiv:2602.04981,,arxiv.org
google_title.csv,7.csv,"M Huo, Y Li",2022,Dual-state purification for practical quantum error mitigation,Physical Review A,10.1103/PhysRevA.105.022427,APS
springer_title.csv,1.csv,Danila Babukhin,2024,Echo-evolution data generation for quantum error mitigation via neural networks,Quantum Information Processing,10.1007/s11128-024-04603-7,Springer
google_title.csv,12.csv,"A Shaib, MH Naim, ME Fouda, R Kanj, F Kurdahi",2023,Efficient noise mitigation technique for quantum computing,Scientific Reports,,nature.com
google_title.csv,1.csv,C Lawrence,2025,Empirical or Simulated? Revisiting Training Data Assumptions in Learning-Based Quantum Error Mitigation,… in Learning-Based Quantum Error Mitigation …,,papers.ssrn.com
google_title.csv,1.csv,HN Djidjev,2024,Enhancing quantum annealing accuracy through replication-based error mitigation,Quantum Science and Technology,10.1088/2058-9565/ad6eb3,iopscience.iop.org
google_title.csv,1.csv,"D Lakshanya, V Karthick",2025,Enhancing Quantum Computation Accuracy on Ibm Quantum Hardware Through Advanced Error Mitigation Strategies,,,researchsquare.com
google_title.csv,3.csv,"M Ho, R Takagi, M Gu",2021,Enhancing quantum models of stochastic processes with error mitigation,arXiv preprint arXiv:2105.06448,,arxiv.org
google_title.csv,7.csv,"P Li, J Liu, HP Patil, P Hovland, ...",2023,Enhancing virtual distillation with circuit cutting for quantum error mitigation,2023 IEEE 41st …,,ieeexplore.ieee.org
google_title.csv,1.csv,"Q Li, Y Huang, X Hou, Y Li, X Wang, A Bayat",2024,Ensemble-learning error mitigation for variational quantum shallow-circuit classifiers,Physical Review Research,10.1103/PhysRevResearch.6.013027,APS
google_title.csv,12.csv,"SY Kim, G San Jhun, YJ Kwon, J Kim…",2025,Entanglement-aware Quantum Error Mitigation for Complex Quantum Circuits,2025 16th International …,,ieeexplore.ieee.org
google_title.csv,7.csv,"A Dutkiewicz, S Polla, M Scheurer, C Gogolin, ...",2025,Error mitigation and circuit division for early fault-tolerant quantum phase estimation,PRX Quantum,10.1103/mlmy-yskj,APS
google_title.csv,7.csv,"S Youseff, A Philip, F Hamzah, A Taofeek, B Barnanas, ...",2026,Error Mitigation and Fault-Tolerance Techniques in IBM Quantum Algorithm Development,,,
google_title.csv,1.csv,G Crognaletti,2026,Error mitigation and performance trade-offs in scaling variational quantum algorithms,,,arts.units.it
google_title.csv,1.csv,"S Moradi, C Spielvogel, D Krajnc, C Brandner, ...",2023,Error mitigation enables PET radiomic cancer characterization on quantum computers,European Journal of …,10.1007/s00259-023-06362-6,Springer
ieee_title.csv,23.csv,R. Shaydulin; A. Galda,2021,Error Mitigation for Deep Quantum Optimization Circuits by Leveraging Problem Symmetries,2021 IEEE International Conference on Quantum Computing and Engineering (QCE),10.1109/QCE52317.2021.00046,IEEE
google_title.csv,1.csv,"A Weidinger, GB Mbeng, W Lechner",2023,Error mitigation for quantum approximate optimization,Physical Review A,10.1103/PhysRevA.108.032408,APS
google_title.csv,1.csv,"L Botelho, A Glos, A Kundu, JA Miszczak, Ö Salehi, ...",2022,Error mitigation for variational quantum algorithms through mid-circuit measurements,Physical Review A,10.1103/PhysRevA.105.022441,APS
google_title.csv,1.csv,"J Pazem, MH Ansari",2025,Error mitigation in brainbox quantum autoencoders,Scientific Reports,,nature.com
google_title.csv,1.csv,"KN Smith, GS Ravi, P Murali, JM Baker, ...",2021,Error mitigation in quantum computers through instruction scheduling,arXiv preprint arXiv …,,arxiv.org
google_title.csv,5.csv,"G Acampora, A Vitiello",2021,Error mitigation in quantum measurement through fuzzy C-means clustering,2021 IEEE international conference on …,,ieeexplore.ieee.org
google_title.csv,3.csv,"MU Khan, MA Kamran, WR Khan, MM Ibrahim, MU Ali, ...",2024,Error mitigation in the nisq era: Applying measurement error mitigation techniques to enhance quantum circuit performance,Mathematics,,mdpi.com
google_title.csv,1.csv,"J Rogers, G Bhattacharyya, MS Frank, ...",2021,Error mitigation in variational quantum eigensolvers using probabilistic machine learning,arXiv preprint arXiv …,,academia.edu
google_title.csv,1.csv,"T Jiang, J Rogers, MS Frank, O Christiansen, ...",2024,Error mitigation in variational quantum eigensolvers using tailored probabilistic machine learning,Physical Review …,10.1103/PhysRevResearch.6.033069,APS
google_title.csv,1.csv,"Z Zhou, S Pexton, A Kubica, Y Ding",2025,Error mitigation of fault-tolerant quantum circuits with soft information,arXiv preprint arXiv:2512.09863,,arxiv.org
google_title.csv,7.csv,OG Maupin,2024,Error Mitigation on a Trapped-Ion Quantum Computer,,,search.proquest.com
google_title.csv,1.csv,J Miller,2025,Error Mitigation Techniques for Robust Quantum Computing in Financial Modeling: Toward Reliable Quantum Advantage in Near-Term Financial Applications,"… Intelligence, Quantum Computing, Robotics, Science & …",,aireta.org
google_title.csv,4.csv,"R Palanivel, P Muthulakshmi",2024,Error mitigation using quantum neural Q network in secure qutrit distribution on Cleve's protocol on quantum computing,Quantum Information Processing,10.1007/s11128-024-04342-9,Springer
google_title.csv,1.csv,"P Czarnik, A Arrasmith, PJ Coles, L Cincio",2021,Error mitigation with Clifford quantum-circuit data,Quantum,,quantum-journal.org
google_title.csv,6.csv,"Y Kim, LCG Govia, A Dane, E van den Berg, ...",2025,Error mitigation with stabilized noise in superconducting quantum processors,Nature …,,nature.com
springer_title.csv,15.csv,Dayue QinYanzhu ChenYing Li,2023,Error statistics and scalability of quantum error mitigation formulas,npj Quantum Information,10.1038/s41534-023-00707-7,Springer
google_title.csv,15.csv,"M Demarty, B Yang, K Hammam…",2026,Error-mitigation aware benchmarking strategy for quantum optimization problems,arXiv preprint arXiv …,,arxiv.org
google_title.csv,15.csv,"DG A Cabral, B Allen, F Pavošević…",2026,Error-mitigation enabled multicomponent quantum simulations beyond the Born–Oppenheimer approximation,Journal of Chemical …,10.1021/acs.jctc.5c01911,ACS Publications
google_title.csv,1.csv,"ST Jose, O Simeone",2022,Error-mitigation-aided optimization of parameterized quantum circuits: Convergence analysis,IEEE Transactions on Quantum …,,ieeexplore.ieee.org
google_title.csv,12.csv,G Du,2022,Evaluating a RISC-V processor running Benchmarks using the QEMU Virtual Platform tool.,,,diva-portal.org
google_title.csv,23.csv,"E Rosenberg, P Ginsparg…",2022,Experimental error mitigation using linear rescaling for variational quantum eigensolving with up to 20 qubits,Quantum Science & …,10.1088/2058-9565/ac3b37,iopscience.iop.org
google_title.csv,1.csv,C Jiaxin,,EXPLORATION OF ERROR MITIGATION TECHNIQUES FOR 20-QUBIT QUANTUM SYSTEMS,group.paterek.info,,
google_title.csv,1.csv,"Y Quek, D Stilck França, S Khatri, JJ Meyer, J Eisert",2024,Exponentially tighter bounds on limitations of quantum error mitigation,Nature Physics,,nature.com
google_title.csv,1.csv,"S Khatri, Y Quek, J Meyer, D França, ...",2023,Exponentially tighter bounds on quantum error mitigation,APS March Meeting …,,ui.adsabs.harvard.edu
google_title.csv,1.csv,"J Pérez-Guijarro, A Pages-Zamora, ...",2026,Extension of Clifford data regression methods for quantum error mitigation,IEEE Transactions on …,,ieeexplore.ieee.org
google_title.csv,15.csv,AS Aasen,2026,Extracting information from noisy quantum systems: Readout-error mitigation and adaptive measurement strategies,,,archiv.ub.uni-heidelberg.de
google_title.csv,1.csv,"J Zhang, S Li, J Han, Q Zhao, J Zhang, ...",2026,Extrapolative Quantum Error Mitigation in Continuous-Variable Systems beyond the Training Horizon,arXiv preprint arXiv …,,arxiv.org
google_title.csv,15.csv,"Y Guo, Y Fan, P Liu, S Zhao, Y Jin, X Cai…",2025,False Positives of Observable Evaluation induced by Misapplying of Quantum Readout Error Mitigation with Initialization Error Neglected,arXiv preprint arXiv …,,arxiv.org
google_title.csv,7.csv,"A Gonzales, AM Babu, J Liu, Z Saleem, ...",2023,Fault tolerant quantum error mitigation,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"GR Melo, WR Cardoso",2025,Feedback-based error mitigation protocol quantifiers analysis in bit-flip and phase-flip quantum channels,The European Physical Journal Plus,10.1140/epjp/s13360-025-06444-4,Springer
google_title.csv,1.csv,"A Karim, HJ Vallury, M Usman",2026,Fictitious Copy Quantum Error Mitigation,arXiv preprint arXiv:2603.09302,,arxiv.org
google_title.csv,1.csv,"M Liao, Y Zhu, G Chiribella, Y Yang",2023,Flexible error mitigation of quantum processes with data augmentation empowered neural model,arXiv preprint arXiv:2311.01727,,arxiv.org
google_title.csv,4.csv,"XM Zhang, W Kong, MU Farooq, MH Yung, G Guo, ...",2021,Generic detection-based error mitigation using quantum autoencoders,Physical Review A,10.1103/PhysRevA.103.L040403,APS
google_title.csv,1.csv,"G Acampora, M Grossi, A Vitiello",2021,Genetic algorithms for error mitigation in quantum measurement,2021 IEEE congress on …,,ieeexplore.ieee.org
google_title.csv,1.csv,"S Szachara, S Rajakrishnan, DJ Van Allen, ...",2026,GSC-QEMit: A Telemetry-Driven Hierarchical Forecast-and-Bandit Framework for Adaptive Quantum Error Mitigation,arXiv preprint arXiv …,,arxiv.org
google_title.csv,15.csv,"T Yoshida, Y Shingu, C Shimada, T Nikuni…",2025,Hardware-efficient quantum annealing with error mitigation via classical shadow,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"S Endo, Z Cai, SC Benjamin, X Yuan",2021,Hybrid quantum-classical algorithms and quantum error mitigation,Journal of the Physical …,10.7566/JPSJ.90.032001,journals.jps.jp
google_title.csv,1.csv,"DA Bhadre, HP Ghongade",2025,Hybrid quantum-classical variational algorithms for large-scale combinatorial optimization: A novel adaptive ansatz framework with error mitigation,Multidisciplinary Journal of Academic …,,mjapjournal.com
google_title.csv,1.csv,"NE Belaloui, A Tounsi, AR Khamadja, ...",2026,Improving VQE parameter quality on noisy quantum processors with cost-effective readout error mitigation,Physica …,10.1088/1402-4896/ae2f3e,iopscience.iop.org
google_title.csv,1.csv,"L Hour, M Go, Y Han",2026,Improving zero-noise extrapolation for quantum-gate error mitigation using a noise-aware folding method,IEEE Access,,ieeexplore.ieee.org
google_title.csv,15.csv,"G Umbrarescu, O Higgott, DE Browne",2026,Infinite Distance Extrapolation: How error mitigation can enhance quantum error correction,arXiv preprint arXiv:2603.11285,,arxiv.org
google_title.csv,1.csv,HC Nguyen,2023,Information-theoretic approach to readout-error mitigation for quantum computers,Physical Review A,10.1103/PhysRevA.108.052419,APS
google_title.csv,3.csv,"C Alexandrou, L Funcke, T Hartung, K Jansen, ...",2021,Investigating the variance increase of readout error mitigation through classical bit-flip correction on IBM and Rigetti quantum computers,arXiv preprint arXiv …,,arxiv.org
springer_title.csv,1.csv,Hangming ZhangTing LiFei Li,2024,Joint mitigation of quantum gate and measurement errors via the <i>Z</i>-mixed-state expression of the Pauli channel,Quantum Information Processing,10.1007/s11128-024-04428-4,Springer
google_title.csv,1.csv,"R Singla, R Verschae, H Parthasarathy",2025,Large deviation-based noise mitigation in coupled quantum robotic systems: R. Singla et al.,Quantum Information Processing,10.1007/s11128-025-04982-5,Springer
google_title.csv,1.csv,"SH Sack, DJ Egger",2024,Large-scale quantum approximate optimization on nonplanar graphs with machine learning noise mitigation,Physical Review Research,10.1103/PhysRevResearch.6.013223,APS
google_title.csv,1.csv,"B Bar, JP Santos, R Uzdin",2026,Layered KIK quantum error mitigation for dynamic circuits,npj Quantum Information,,nature.com
google_title.csv,1.csv,"R Wang, X Xu, F Yan, X Xiao, Y Li, X Cai, ...",2024,Leveraging junk information to enhance the quantum error mitigation,arXiv preprint arXiv …,,arxiv.org
google_title.csv,7.csv,"A Eddins, MC Tran, P Rall",2024,Lightcone shading for classically accelerated quantum error mitigation,arXiv preprint arXiv:2409.04401,,arxiv.org
google_title.csv,1.csv,"MC Tran, K Sharma, K Temme",2023,Locality and error mitigation of quantum circuits,arXiv preprint arXiv:2303.06496,,arxiv.org
google_title.csv,1.csv,"S Patil, D Mondal, R Maitra",2025,Machine learning approach toward quantum error mitigation for accurate molecular energetics,The Journal of Chemical Physics,,pubs.aip.org
google_title.csv,1.csv,"H Liao, DS Wang, I Sitdikov, C Salcedo, A Seif, ...",2024,Machine learning for practical quantum error mitigation,Nature Machine …,,nature.com
google_title.csv,1.csv,Z White,2025,MANAGING ERRORS IN QUANTUM METROLOGY VIA QUANTUM ERROR MITIGATION,,,jscholarship.library.jhu.edu
google_title.csv,1.csv,"D Aharonov, O Golan, B Katzir, O Kenneth, ...",2026,Methods and systems for multi-type probabilistic quantum error mitigation,US Patent App. 18 …,,Google Patents
google_title.csv,4.csv,"S Seo, J Seong, J Bae",2021,Mitigation of crosstalk errors in a quantum measurement and its applications,arXiv preprint arXiv:2112.10651,,arxiv.org
google_title.csv,5.csv,"JP Blankert, BC BV",2025,Mitigation Potential Geometry for Quantum Computing Submodular Placement of Error Mitigation Under Budget Constraints,,,researchgate.net
google_title.csv,1.csv,"R LaRose, A Mari, S Kaiser, PJ Karalekas, ...",2022,Mitiq: A software package for error mitigation on noisy quantum computers,Quantum,,quantum-journal.org
google_title.csv,3.csv,"X Wang, X Feng, L Funcke, T Hartung, K Jansen, ...",2021,Model-independent error mitigation in parametric quantum circuits and depolarizing projection of quantum noise,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"FB Maciejewski, F Baccari, Z Zimborás, ...",2021,Modeling and mitigation of cross-talk effects in readout noise with applications to the Quantum Approximate Optimization Algorithm,Quantum,,quantum-journal.org
google_title.csv,1.csv,"T Weber, M Riebisch, K Borras, ...",2021,Modelling for quantum error mitigation,2021 IEEE 18th …,,ieeexplore.ieee.org
google_title.csv,1.csv,"H Zou, E Magnusson, H Brunander, W Dobrautz, ...",2025,Multireference error mitigation for quantum computation of chemistry,Digital …,,pubs.rsc.org
google_title.csv,15.csv,"M Papič, MG Algaba, E Godinez-Ramirez…",2026,Near-term fermionic simulation with subspace noise tailored quantum error mitigation,npj Quantum …,,nature.com
google_title.csv,1.csv,"HL Huang, XY Xu, C Guo, G Tian, SJ Wei, ...",2023,"Near-term quantum computing techniques: Variational quantum algorithms, error mitigation, circuit compilation, benchmarking and classical simulation",Science China Physics …,10.1007/s11433-022-2057-y,Springer
google_title.csv,1.csv,"ER Bennewitz, F Hopfmueller, B Kulchytskyy, ...",2022,Neural error mitigation of near-term quantum simulations,Nature Machine …,,nature.com
google_title.csv,1.csv,J Reyes,2022,Neural Network Quantum Error Mitigation for Algorithms on Near-Term Intermediate Scale Quantum Devices,NSF Award Number 2138113. Directorate for …,,ui.adsabs.harvard.edu
google_title.csv,7.csv,"김보선, 손일권, 배광일, 이원혁",2024,NISQ machine 의 성능 향상을 위한 Qiskit 기반 quantum error mitigation 적용 연구,한국통신학회 학술대회논문집,,dbpia.co.kr
google_title.csv,4.csv,"D Wang, PJT Rall, EH Chen, SAS TABRIZI, ...",2025,Noise Mitigation in Dynamic Quantum Circuits by Inserting Context-Dependent Dynamical Decoupling Sequences,US Patent App. 18 …,,Google Patents
google_title.csv,1.csv,"JO del Moral, OS Larrarte, J Fraxanet, ...",2026,Noise mitigation of quantum observables via learning from Hamiltonian symmetry decays,arXiv preprint arXiv …,,arxiv.org
google_title.csv,1.csv,"A Alagiyawanna, A Karunananda",2026,Noise Models Impacts and Mitigation Strategies in Photonic Quantum Machine Learning,arXiv preprint arXiv:2603.09645,,arxiv.org
google_title.csv,1.csv,"B Majid, SA Sofi, Z Jabeen",2025,Noise resilient quantum learning: Adaptive policy guided error mitigation in quantum reinforcement learning for the traveling salesman problem,Applied Soft Computing,,Elsevier
google_title.csv,6.csv,"T Scoquart, H Perrin, K Snizhko",2026,Noise tailoring for error mitigation and for diagnozing digital quantum computers,arXiv preprint arXiv:2601.04830,,arxiv.org
google_title.csv,1.csv,"M Liao, Y Zhu, G Chiribella, Y Yang",2025,Noise-agnostic quantum error mitigation with data augmented neural models,npj Quantum Information,,nature.com
google_title.csv,7.csv,"H Xie, N Yoshioka, K Tsubouchi, Y Li",2026,Noise-Agnostic Unbiased Quantum Error Mitigation for Logical Qubits,Physical Review Letters,10.1103/2n23-4qg8,APS
google_title.csv,7.csv,D Ahn,2023,Non-Markovian cost function for quantum error mitigation with Dirac Gamma matrices representation,Scientific Reports,,nature.com
